"Ctrl_0"	"Ctrl_1"	"Ctrl_2"	"Ctrl_3"	"TollLPS_0"	"TollLPS_1"	"TollLPS_2"	"TollLPS_3"	"TollMRP8_0"	"TollMRP8_1"	"TollMRP8_2"	"TollMRP8_3"	"ActLPS_0"	"ActLPS_1"	"ActLPS_2"	"ActLPS_3"
"EHMT1-IT1"	38108.451035805	43491.2719065323	79780.1861539483	71683.3384009078	226282.000588253	282802.635757253	240835.604676977	220999.060245231	155004.961928353	262316.972017288	157349.55444932	282515.007490292	385753.153404221	392408.298049122	338715.145690367	309686.40500214
"EHMT2"	798.652996309102	98478.3523483202	60158.5215423256	82519.7295751423	172562.416316941	290816.547395661	258519.426360726	240114.029916003	156983.241718262	190673.871617764	256807.916425169	193735.111504793	360317.896772176	300412.445724942	307625.117665157	311506.312596612
"EI24"	1486.23886052519	50780.6078996509	51043.820171617	80905.6934900582	188740.240596235	298596.696555614	245272.273663431	117569.265840575	205357.955722138	191087.819775566	144876.452209428	230882.739834487	362572.169536725	399846.548284404	349662.514356896	364538.144459948
"EID1"	28302.1171344444	95095.4574160278	60913.785872981	49265.0171974674	233313.988568261	282470.423774794	120425.554271787	103498.634463176	246388.485329226	185702.781006694	180509.437574074	187771.267443895	342158.368113451	315431.738318875	377760.596689768	377103.899745271
"EID2"	60403.4531628713	58523.5819220543	81312.1506245807	65162.8251885995	149668.971030042	136262.422986329	284838.292887434	234628.284256905	257373.445108533	224248.543661088	202989.495405927	111554.664233699	378227.863297798	309729.838161729	340092.080109753	379496.4522589
"EID2B"	29746.9797311351	40495.146648027	38633.7849777192	55489.8953530937	163891.615765169	178558.82011354	219453.605869785	176180.444285274	185831.562476233	124005.939997733	294127.505971119	234301.688894629	350299.577391706	334624.158963561	346785.183716565	381825.575954281
"EID3"	98994.3621912971	75178.1459432095	78961.0263891518	28566.4823837578	279122.284380719	246487.398026511	100821.319594979	216203.198209405	294786.11536324	219242.666428909	134911.925252527	100823.155324906	322867.912752554	314636.349445209	305551.283457316	330179.740861058
"EIF1"	20475.9192187339	41283.6859468371	73039.4857469946	98686.0105302185	139680.569292977	218678.764626384	274537.496594712	217658.146563917	253693.201905116	239967.595692724	294896.875089034	212433.524476364	340552.604058757	344261.144963093	305591.746210121	387491.323845461
"EIF1AD"	50246.6918900609	33139.0995765105	69373.4274245799	6540.05901888013	228581.250039861	227132.084639743	217773.193307221	184148.289030418	172484.469087794	192163.186334074	263696.928834543	188851.905986667	343462.776066735	374300.060258247	330805.400642566	326210.473291576
"EIF1AX"	15003.6780862138	10529.6610621735	1978.62850036472	39085.1259697229	268307.126453146	211434.552958235	195808.343729004	125795.801682398	201597.35600464	174580.885283649	100881.285686046	262341.812159866	366965.291392989	385841.379198246	392058.491148055	360368.704237044
"EIF1AX-AS1"	11826.5600176528	99066.0526091233	30087.8819078207	4087.63659652323	240756.893716753	135177.319264039	261950.509669259	179185.788007453	229058.719798923	169589.839875698	121322.224568576	133049.239125103	382053.030282259	363456.288469024	356213.543144986	329128.255322576
"EIF1AY"	12384.5439404249	38326.8448757008	95610.8570331708	9147.07900956273	211114.822048694	218714.491138235	284467.09048003	123838.951997459	127438.722550869	104978.81937772	138478.843215853	179954.802943394	305427.469359711	354730.613762513	310811.464395374	316151.439887471
"EIF1B"	34404.5947073027	75342.5477305427	46889.4839286804	3321.59714307636	146254.115086049	112602.88534686	130768.421757966	263927.416177467	174583.824165165	206978.084659204	211567.298322916	287379.387859255	388658.925611526	312759.942747653	346463.331207633	385656.723659486
"EIF1B-AS1"	24533.8512351736	28873.3121007681	24090.2442019433	96807.7114317566	101735.457777977	106394.801102579	293242.696998641	155190.488090739	231609.488558024	157246.087258682	176887.884968892	288512.016460299	397401.855117641	371363.710123114	385987.69789096	362850.860971957
"EIF2A"	58147.5498620421	64038.693299517	66282.1215344593	44330.9159483761	295133.900502697	215223.71112369	160785.871604457	225523.388711736	195826.496789232	208707.786770537	220907.469373196	242545.873578638	307115.723565221	311486.371979117	387792.11496003	361757.118650712
"EIF2AK1"	85627.1067168564	53401.7712576315	23340.4305530712	96000.1937579364	231727.155391127	142803.752562031	196099.711768329	265186.293656006	114636.698132381	158832.184644416	222954.775346443	212732.41895251	355146.582121961	354665.743932128	342402.648739517	327462.599868886
"EIF2AK2"	80886.1160185188	82398.8538701087	8250.39504561573	72327.0233953372	200702.827144414	288749.835360795	257224.200107157	225322.749931365	223662.091931328	190945.687750354	196509.086620063	198463.677987456	321548.132924363	324370.868084952	379816.760728136	308429.230749607
"EIF2AK3"	62173.1587452814	93339.0797115862	57536.6677017882	4261.29715051502	298327.274154872	194233.954697847	277945.467829704	139988.441439345	288537.137303501	299233.117653057	162810.646556318	146134.515292943	307047.813036479	304881.747532636	328622.735734098	301804.123260081
"EIF2AK4"	43494.2445717752	69281.8638170138	69619.5900905877	25272.7498300374	279367.487737909	153666.550060734	217189.631937072	271731.827966869	251763.44756037	294304.883945733	276160.888792947	278954.836027697	320739.556127228	309312.789817341	361200.530338101	367161.125759594
"EIF2B1"	81596.5494839475	88214.1498383135	54770.731809549	57926.8941655755	218254.100484774	112460.301490501	260270.573431626	236131.558520719	108519.718283787	238223.862694576	181500.983703882	182542.395824566	320643.296232447	316355.244629085	366749.74753987	339173.359121196
"EIF2B2"	82678.2678021118	11113.4570557624	69689.4427528605	2883.03748238832	184652.758995071	127294.562477618	166031.467821449	235477.066133171	170794.655475765	152701.704343781	213921.766774729	237444.124137983	338987.779640593	330555.238621309	306596.779311076	394747.247360647
"EIF2B3"	28952.8927532956	47064.8827031255	78005.4384842515	25598.8339195028	222320.62574476	272350.26312992	259253.451088443	182965.155970305	233402.958372608	125557.677261531	199306.490737945	107160.705002025	398767.385049723	383929.920801893	389580.875984393	322478.189296089
"EIF2B4"	77143.9627511427	58796.542766504	27771.1825445294	68607.4737226591	172920.33014819	153790.217498317	164111.023256555	174553.997674957	184082.000516355	266216.324549168	208913.927851245	285284.276073799	317006.388283335	321760.270162486	383344.593085349	379303.860897198
"EIF2B5"	73444.0967440605	56132.1368208155	3030.25341127068	75304.7070000321	233593.211090192	133054.439537227	266775.861289352	248142.41733402	274477.276718244	146955.289458856	221928.574657068	265848.743868992	380017.417995259	343802.795559168	390644.613280892	309422.72793036
"EIF2D"	55560.9208531678	42232.7283304185	59495.277190581	8979.08373735845	112400.731816888	185987.223032862	281693.778093904	164650.07099323	260754.571296275	151146.994903684	284810.234140605	157699.082093313	338728.165533394	373067.10195262	332137.78284844	354048.402770422
"EIF2S1"	54775.1290490851	762.692256830633	2212.52283081412	15130.3320657462	238377.740373835	127290.800446644	137911.875825375	234520.745137706	140674.039768055	227159.081818536	248785.272007808	134325.009677559	365333.831240423	363761.281804182	397861.904813908	333133.551850915
"EIF2S2"	35432.8561108559	59985.7615074143	15934.091177769	99458.9891051874	197346.870740876	272772.227646783	278532.441379502	123717.98963286	167643.014388159	285999.471088871	259949.92479682	257283.989619464	329539.089207537	332840.878935531	312670.931220055	324921.407760121
"EIF2S3"	12900.601583533	39227.0657466725	50606.7417794839	93443.6087263748	108385.049831122	104502.713214606	103025.077050552	275005.934247747	169550.606608391	205922.052962705	209350.298065692	192508.871760219	323339.916346595	394513.326347806	329946.76947128	339637.364633381
"EIF3A"	65678.5308616236	93869.6559285745	29418.1249337271	41970.7262888551	263018.563669175	293623.649422079	182803.664868698	116074.435133487	265571.303619072	244419.431407005	119354.64036651	198158.023413271	304166.70285631	393851.127522066	360386.692290194	353183.770063333
"EIF3B"	21626.7542913556	7080.67021332681	523.282354697585	795.731949619949	204843.823611736	112715.537566692	217194.135161117	267114.0645165	134597.86940366	252519.429987296	241666.290350258	195820.561703295	381742.304214276	385681.91009108	347955.522593111	346745.417104103
"EIF3C"	52901.7674969509	58074.8141976073	77344.59862113	61509.7776288167	223151.439335197	148233.16517286	126743.023982272	266324.098501354	284998.012427241	196291.906572878	257209.689496085	278290.032641962	395989.103894681	348771.335161291	380416.475282982	327775.172493421
"EIF3CL"	44897.6007290184	85951.7847886309	31282.2118401527	54911.2543696538	121742.020128295	184878.341248259	293728.683749214	133739.818120375	156915.426999331	171748.394984752	246711.877733469	183454.060833901	336829.277966172	323481.269460171	371056.690742262	313122.50578776
"EIF3D"	81826.8923088908	86139.036458917	3197.96018302441	33233.031956479	251207.754435018	169877.609191462	194327.490916476	252656.217105687	225321.231083944	105887.485248968	195023.420639336	187239.502603188	376954.47539445	373903.182614595	310414.18381501	372387.009277008
"EIF3E"	37822.4240848795	40369.103080593	37681.1812864617	81288.3253674954	243694.488378242	139308.324223384	263739.801384509	292796.059185639	234540.043864399	295419.775461778	291966.357314959	132361.28683202	329808.439570479	308870.436670259	372720.879968256	300724.982866086
"EIF3F"	50939.4706226885	76235.0622797385	88168.6490029097	23580.2533570677	267313.853465021	242899.364372715	197262.561460957	280975.507991388	294892.860902473	122467.310540378	263729.274645448	194906.611647457	346535.21780856	383437.713375315	355960.654141381	306828.718795441
"EIF3G"	29018.8798448071	39355.8670999482	72475.9762408212	13273.5726190731	299418.588541448	154480.248037726	202380.233397707	147591.568902135	145650.48366785	100108.081614599	215894.869854674	208219.888107851	391533.325100318	364205.00180684	306398.094701581	362565.404991619
"EIF3H"	75205.4567215964	46684.8625568673	50477.1654726937	56861.2158065662	147494.188835844	152627.253299579	183417.86460951	102549.061598256	209680.096944794	116396.953398362	126357.214292511	217121.174978092	356416.220450774	327310.355892405	351733.609614894	374417.934706435
"EIF3I"	41808.0072384328	73156.1941327527	77000.0666612759	13404.7597646713	204172.569373623	296841.477788985	256077.93899253	245990.449609235	237352.857086807	260901.294043288	219205.701677129	126252.144342288	320500.56529697	367917.189514264	326624.461007304	321430.148510262
"EIF3IP1"	48973.9681128412	50865.6398858875	3618.94296947867	12553.7870684639	257329.373760149	212907.789973542	118818.184081465	230935.64552255	111054.098978639	241924.910945818	159252.499835566	120739.026973024	321684.723510407	397502.375859767	394052.374619059	343232.731102034
"EIF3J"	3471.50459419936	94341.0560721532	39830.1715031266	25120.9039473906	176475.15013814	204935.59720926	279578.406363726	135982.253868133	169030.884373933	294639.900745824	167029.551742598	211395.000526682	366925.621218979	347807.037970051	391710.302513093	396199.769736268
"EIF3J-AS1"	47578.8219133392	78818.4033008292	83937.043370679	98342.6300575957	150968.81124191	226538.787456229	161953.470250592	143050.030432642	206402.505561709	134969.258774072	139391.055237502	151278.491597623	339088.314189576	331080.487230793	339285.590592772	393383.916886523
"EIF3K"	16641.2090649828	84742.1256359667	64829.4697515666	89053.6684310064	216877.047484741	159283.324237913	287887.432333082	253444.303292781	101172.063825652	202173.119550571	192636.727169156	151246.053399518	376288.786367513	381977.314478718	319225.060753524	384960.670163855
"EIF3L"	58453.5303292796	41899.9032583088	16639.5729873329	72225.9882604703	188174.331979826	244292.479334399	287087.810272351	195466.060144827	142767.002433538	271528.697246686	133424.293203279	175314.346840605	345939.473900944	340235.901856795	312358.958367258	380951.218842529
"EIF3M"	93252.6217540726	26580.5317088962	36835.2541001514	56593.8675776124	156404.162477702	261888.259463012	262719.41610612	146643.884247169	160223.930422217	178668.242413551	226488.623069599	185229.476401582	354753.12799681	391846.955195069	306029.50132452	353424.583328888
"EIF4A1"	4450.64441300929	11242.5836734474	7109.59048010409	32216.1871474236	196452.215965837	101068.267924711	217559.707025066	158837.764384225	153993.386868387	209170.146565884	265898.892376572	231681.502610445	331332.85974618	309579.252451658	357456.916733645	328193.115093745
"EIF4A2"	41435.7991656289	61538.9185957611	87529.5277684927	84063.3367421106	240573.945268989	113320.774491876	167020.149389282	192186.933616176	123197.201220319	117718.121130019	218028.891272843	232898.921240121	381462.466507219	313550.464226864	302595.893177204	380746.713257395
"EIF4A3"	73679.0029564872	89902.1879537031	39077.1166887134	53170.9795584902	283038.962958381	110751.163912937	240756.033267826	200669.281790033	255259.742448106	178231.363138184	227400.099253282	151074.123475701	385836.360277608	344803.668139502	334264.756576158	376411.519059911
"EIF4B"	4063.64409718663	51188.4647654369	15420.7652900368	62077.3693546653	161804.228182882	104978.523589671	125641.879811883	219747.260864824	158509.995276108	152409.095270559	220137.268630788	180512.907542288	373448.031884618	381782.382330857	336667.795828544	319404.982868582
"EIF4E"	37847.7730089799	47049.6451947838	30362.4063497409	27949.3589419872	244405.682198703	195320.167019963	279547.509131953	204675.223538652	129937.520995736	112526.448071003	170933.675765991	101017.124205828	392811.128869653	353484.936989844	338866.425049491	357808.445766568
"EIF4E1B"	22920.5411858857	50944.5953648537	57582.2018785402	80394.6359315887	100594.226876274	156963.56552653	291291.751619428	287133.770389482	293137.896480039	244762.811716646	230105.134937912	210016.122087836	305426.368303597	341321.548633277	327633.470017463	367988.416249864
"EIF4E2"	12160.8489425853	41703.0345881358	5195.98179962486	32596.1093651131	216203.070199117	230253.089917824	170830.58943972	191290.600178763	141103.790001944	277607.731334865	184783.597756177	188763.360586017	313529.786211438	314826.230867766	314446.360431612	324191.455333494
"EIF4E3"	16431.000852026	89713.4966449812	24553.083977662	88141.4060946554	113869.45405975	143859.987612814	232791.689224541	122157.400427386	281195.98547928	278712.328244001	235861.240653321	197815.465228632	387917.120312341	319989.894144237	349872.069642879	366068.981471471
"EIF4EBP1"	65829.0068851784	41812.5980999321	13105.7730177417	77822.6699912921	293158.589070663	183398.410445079	249241.67864956	114025.045931339	248848.673095927	239342.300454155	273436.945537105	266774.550965056	337582.870107144	331298.724422231	389426.371711306	367311.481107026
"EIF4EBP2"	5903.40385679156	53218.1580318138	59276.424231939	46585.2717636153	224658.052297309	216134.621435776	136280.892742798	287448.149500415	194742.160756141	171399.916149676	256650.61082691	238272.248767316	352280.042180791	321113.025560044	378533.91696699	397959.212400019
"EIF4EBP3"	2364.12726808339	69171.6203698888	83597.086975351	44026.9753104076	170203.877752647	270698.576560244	164407.535269856	214245.712058619	169715.994922444	168214.287096635	187584.793567657	214281.899575144	366862.506628968	310032.644378953	311664.42851536	333323.655021377
"EIF4ENIF1"	37223.2300695032	69705.1176801324	41028.4464247525	38449.8242521659	195958.731835708	193025.695718825	152181.364316493	226408.766070381	212519.798660651	171521.691093221	161105.433665216	106804.315466434	392444.477323443	311102.186772041	336615.742091089	304135.447950102
"EIF4G1"	66360.804089345	23584.9618446082	42327.3774795234	54795.8660172299	263412.933936343	222320.795804262	298330.93136549	223103.579552844	217806.524317712	236645.020032302	253051.426913589	294189.644558355	326150.975679047	336063.009989448	361365.969665349	346944.975480437
"EIF4G2"	39318.902650848	10629.4919503853	39552.6919979602	95449.4752921164	256530.555058271	266035.985015333	110190.425999463	283482.92382434	173806.785512716	107687.789015472	219096.283707768	156836.082413793	340432.764729485	341696.566203609	350882.000150159	372213.565488346
"EIF4G3"	28999.8804219067	46663.1565708667	33116.1584705114	29377.283831127	281022.397009656	164548.608614132	240741.484053433	144182.441057637	263132.000621408	226212.077355012	204702.336527407	274979.823408648	303482.357761823	349365.715356544	328472.789982334	301976.781152189
"EIF4H"	62744.2253520712	25886.2200658768	21706.4653523266	82746.6178918257	207165.199425071	171809.742040932	224423.438543454	156286.665657535	127104.568574578	104090.786119923	233392.041875049	164078.878192231	393235.15384458	322810.819838196	380411.15840897	337640.003208071
"EIF5"	69882.7746789902	39771.1208323017	97047.7661583573	73607.5801542029	223159.323725849	138344.317814335	238566.724583507	202297.274349257	281666.59520939	118988.097924739	231882.357830182	282655.141409487	344156.418018974	351743.288314901	338008.783897385	324960.688501596
"EIF5A"	94330.9553200379	86238.5678337887	44756.0355300084	84501.5333266929	181498.928461224	177210.784051567	169276.4504347	244877.897715196	227299.662679434	150818.113749847	193182.033672929	117906.33504279	391475.810902193	383094.850881025	337657.709047198	320271.86495252
"EIF5A2"	5727.40011848509	16828.7999695167	22072.9768974707	5656.50581847876	199812.679830939	116261.194366962	153988.423431292	281806.574901566	100293.500442058	107393.303746358	261771.115520969	176701.546320692	383305.273414589	365821.078931913	311854.070494883	387800.452183001
"EIF5AL1"	13801.0453432798	53926.586965099	23039.9963445961	40918.5569034889	207436.983892694	109704.309282824	100229.897256941	289439.178444445	108456.928608939	228880.30516915	179390.629054978	291694.222204387	361004.911060445	351666.858163662	342571.101221256	353100.335900672
"EIF5B"	81651.1635435745	64258.4175569937	36339.1880644485	94431.1560597271	116274.689137936	142617.09228158	256330.452254042	213322.082115337	124520.779680461	133674.46125485	103372.594248503	135598.708689213	319100.542506203	378683.388466015	338750.765821896	372600.332344882
"EIF6"	72238.120646216	58741.4358742535	43730.3898157552	30822.1607236192	200140.847545117	135156.056284904	252303.366502747	298693.457012996	185885.061696172	128528.51501666	133353.111054748	265948.918834329	384668.440883979	326585.744996555	388838.30870036	326515.425904654
"ELAC1"	78752.8100423515	91367.7375763655	86138.4747782722	55677.1893287078	121653.233421966	203987.944126129	173377.005849034	264256.956428289	163850.486697629	162327.673612162	151220.279652625	236305.494094267	350598.22644107	347061.115410179	324850.575090386	382659.830572084
"ELAC2"	79812.9037255421	51787.5428311527	38328.4596959129	51441.5769837797	217023.769253865	280970.004061237	256723.366770893	187792.531307787	291705.46787791	239690.974820405	229741.714289412	261956.538259983	314239.477319643	379122.879030183	306840.75509198	324874.196434394
"ELANE"	96815.1970067993	84386.6422073916	90291.3393918425	76481.3229208812	168780.577136204	135363.724408671	127330.130664632	154107.02121444	298098.726198077	256640.219828114	241382.802464068	270063.075842336	371547.705237754	304950.314224698	367120.915930718	331402.611243539
"ELAVL1"	29624.1578646004	17539.4135992974	18825.8699374273	8753.79375647753	108541.909419	183952.611032873	199673.823034391	221179.501432925	155581.04282245	269179.371418431	123862.646380439	206843.713251874	334593.355841935	362202.88972836	343295.703455806	372469.956451096
"ELAVL2"	96863.024472259	43793.2158121839	39335.2391896769	2826.7651097849	227807.401353493	188389.330822974	254462.033743039	137859.700527042	239080.273034051	163407.285371795	215936.62481755	223325.59064962	396297.8530908	312671.919213608	362578.59535981	316300.326725468
"ELAVL3"	72094.1572915763	98401.078931056	28195.0220232829	11083.5961066186	257729.690149426	289296.849444509	299229.704448953	114314.328227192	263919.314742088	134063.839772716	102174.372738227	113863.928709179	340593.938203529	373807.438858785	331608.061096631	301027.346518822
"ELAVL4"	37485.7597984374	88493.3503344655	37675.0971190631	91211.9169021025	167526.984214783	121590.442536399	174642.831133679	179525.654669851	212573.963357136	119096.973119304	162415.679171681	223582.816543058	354417.353961617	307487.088325433	387072.953535244	315486.001968384
"ELDR"	25483.917305246	3256.44030235708	11063.4670127183	9161.77886538208	121956.663113087	190262.722177431	194792.717508972	249019.098514691	213364.233030006	289710.236433893	286345.820967108	109304.658556357	318174.779065885	359854.99790404	304389.283619821	359423.249261454
"ELF1"	54347.9709420353	34677.853458561	40733.435167931	94804.2731499299	154911.886528134	289793.461747468	151702.108792961	212335.521215573	109803.268779069	150206.446181983	275706.108799204	251390.453753993	371707.362844609	301452.263072133	321675.844164565	320596.766634844
"ELF2"	56432.5274899602	67990.9194353968	19602.5473764166	95432.5092956424	140860.931109637	279738.462110981	212350.725568831	138313.541188836	285963.301127777	216398.368496448	281462.450372055	159047.779208049	320135.344751179	369896.530453116	396395.507943816	317970.056622289
"ELF3"	11244.8399187997	69353.8447376341	47300.3675462678	86521.2844917551	195010.16321592	130160.580854863	246183.995902538	182674.893457443	243247.123202309	216383.659327403	114124.083705246	126639.816118404	395937.847276218	343989.50652685	381881.728535518	329904.989013448
"ELF4"	92736.8432050571	60422.4846232682	7451.88349392265	57177.2727183998	274807.752296329	268553.959717974	216377.23990716	230886.872438714	189770.004153252	211702.589550987	172824.441129342	211773.353163153	388744.775485247	329097.016551532	342126.291710883	358020.871109329
"ELF5"	30414.0103049576	49017.0656703413	59637.8312679008	27825.4916192964	107050.483673811	153183.994023129	122839.56669271	130734.992912039	277560.719801113	159452.048316598	184187.837084755	211627.273121849	300603.137095459	322428.638464771	320675.091445446	384388.082195073
"ELFN1"	95327.877625823	62178.7465410307	53167.221066542	89209.2605354264	172725.419513881	270041.060168296	130503.267934546	267702.238308266	257002.866733819	111307.757068425	101565.681770444	127828.593971208	315907.454397529	323223.816952668	370302.101201378	331249.065231532
"ELFN1-AS1"	19588.0675688386	88437.9531955346	21805.5459205061	37780.0593618304	136418.141843751	197704.037418589	256142.787775025	112888.164026663	166350.733255967	134278.60843949	128951.358282939	137168.430862948	309548.504394479	396648.5156212	356010.915222578	367076.810449362
"ELFN2"	35162.5333307311	98816.2706140429	2889.0328714624	45784.7846439108	134216.41276218	200012.926477939	121384.20175761	200452.444888651	165695.969294757	243762.773973867	144624.666497111	243874.856783077	390737.79808823	356347.553106025	387629.771837965	323682.509432547
"ELK1"	47139.2114879563	14991.6981812567	15130.2165817469	37441.5379017591	230461.106868461	255602.296115831	146146.295033395	198854.883713648	205927.916523069	194000.858068466	132349.993567914	173156.56458959	322184.431762435	371725.308755413	388881.65038079	306885.419692844
"ELK2AP"	74879.2725382373	61920.364596881	35894.2166436464	98099.8134240508	271581.132151186	105352.091835812	205852.014617994	123264.083452523	293346.08190693	247044.176468626	158839.354664087	194403.632218018	369542.642356828	303866.730467416	394472.043635324	326508.834189735
"ELK3"	39000.4861867055	80903.9276791736	25917.5165556371	97979.8960033804	266533.523891121	257411.716319621	220624.269777909	198551.638796926	120135.758863762	199019.701778889	206930.498033762	191507.680667564	331055.025407113	396304.40690089	359992.988500744	395657.176640816
"ELK4"	30302.1815838292	69702.0356776193	8463.4545026347	76977.5737309828	183415.089827031	210497.59555608	280212.088581175	216609.055083245	142428.601486608	256607.856135815	221425.981028005	140131.247788668	311933.007370681	398649.411764927	307989.287190139	333619.208890013
"ELL"	84384.2848669738	70378.793310374	67497.9947274551	4230.9773620218	258472.693897784	272825.179994106	207292.37627238	255721.683008596	209198.581054807	116555.418819189	294546.654028818	209725.725324824	390087.395487353	348505.681287497	336903.625610285	322980.502969585
"ELL2"	60829.5914717019	3980.77426943928	10172.3651401699	69991.4487777278	128370.478516445	282756.566535681	160903.834691271	101452.337298542	276105.883670971	145721.133798361	121020.726207644	184683.526679873	320422.820281237	323907.813383266	313228.643359616	399957.011616789
"ELL3"	83487.1226921678	847.027357667685	89986.5774437785	96061.4213487133	220264.921570197	133566.950308159	166941.917315125	262192.809628323	195331.882126629	226955.871097744	264599.398104474	152481.476543471	347596.529242583	310255.868290551	341902.905330062	358557.746955194
"ELMO1"	48967.7901612595	61205.202084966	4128.51141300052	94495.5331739038	172694.667242467	298609.393229708	137033.164408058	265708.009433001	151756.971422583	285623.706504703	251373.857306316	182697.738567367	358194.895461202	321073.467889801	338296.004384756	331733.04926604
"ELMO1-AS1"	17228.4549800679	15859.775012359	32235.6384247541	77885.2600604296	219785.206345841	272149.561997503	177417.398849502	167100.042290986	153159.820148721	254430.528497323	230345.487594604	133733.551250771	370535.643678159	387443.682807498	317273.602075875	377400.917443447
"ELMO2"	71211.2297303975	46636.2949227914	58214.0213111416	9041.96330811828	279501.263936982	294633.534830064	139342.601597309	115196.226816624	154022.937174886	294784.56210345	153463.146137074	162004.482140765	370769.35316436	348857.520380989	350828.726659529	311799.405235797
"ELMO3"	65561.184938997	78283.8735263795	47949.9535169452	80342.1679884195	153853.819519281	164734.198898077	262923.795962706	294152.49763988	295828.494150192	167307.897796854	107125.398889184	233594.240155071	313063.821778633	324239.662545733	302294.231182896	357429.681974463
"ELMOD1"	79529.8508135602	45645.6468906254	4666.69602319598	46402.8612477705	253171.830577776	213231.685943902	280195.19043155	240058.062598109	118915.335135534	113603.197177872	162825.298169628	158042.293973267	398902.430571616	398180.641187355	393858.506483957	390469.129569829
"ELMOD2"	17793.0807461962	51060.8913376927	25544.6343915537	46665.827347897	250512.533867732	101336.872996762	147436.385555193	259373.834682629	206398.335564882	183460.851525888	157727.518910542	276979.7984045	322665.663878433	307736.218627542	336958.044301718	333753.409888595
"ELMOD3"	95103.1847391278	83878.1495578587	12222.6364444941	76244.3235144019	258884.630911052	216330.890543759	167090.866575018	190821.467945352	200995.138054714	236605.27584143	199010.281916708	239684.590697289	361681.530112401	340074.367052875	334613.505587913	366291.948989965
"ELMSAN1"	18966.194242239	30530.0369858742	58885.9840296209	38409.5879504457	285767.769021913	249751.486675814	285629.533883184	102857.017330825	129596.644779667	224905.233597383	219535.065116361	158889.557700604	375340.457540005	318545.615067706	356242.613960057	344270.189851522
"ELN"	92227.6178374887	86529.4337971136	69178.6531591788	23426.5608014539	287501.708744094	150581.996981055	188386.4460513	111883.588414639	225869.398238137	132083.187066019	113376.734498888	220748.228766024	313245.184277184	359975.331835449	326884.101610631	324372.051423416
"ELOF1"	61211.2652743235	69459.335017018	23558.557452634	23435.9297435731	164479.125663638	285097.295977175	101543.767005205	182429.684186354	169127.520592883	154251.950792968	214529.8528485	107898.607943207	398040.332086384	322004.224802367	360738.702025265	354234.244697727
"ELOVL1"	81499.6684668586	27722.0092946663	7600.50141252577	9191.0642106086	267656.923644245	189940.402004868	213806.299446151	201684.648171067	295194.787625223	205521.858483553	113219.260796905	260409.980453551	320004.865597002	314276.024559513	316122.966911644	384756.303275935
"ELOVL2"	65024.8944060877	8717.96237770468	13335.8621271327	30103.6265213042	249576.529767364	252561.545511708	183770.113764331	286902.428464964	259216.353110969	267710.81155166	129009.232111275	198294.463846833	332266.707555391	373406.997229904	333873.813715763	372879.088832997
"ELOVL2-AS1"	46990.7082384452	80676.2670399621	8268.70081946254	9292.01156832278	122264.578426257	129319.965559989	115583.778778091	204161.985544488	165171.266114339	260951.649025083	187501.19227916	112621.29181996	371545.70822604	317553.775478154	373031.250946224	365334.85960681
"ELOVL3"	60823.1883961707	2573.82190320641	70757.4242260307	24916.9005313888	274863.429833204	144406.194239855	187057.48305656	195536.837540567	116394.35403049	129247.389780357	224166.931584477	177457.570843399	365792.000479996	378872.999316081	304561.572149396	350220.804661512
"ELOVL4"	29491.0782715306	82727.4771872908	3277.42239460349	24466.0673430189	128137.415321544	248990.818718448	110215.021064505	267668.77360642	115309.503767639	132629.561470821	156589.851994067	279440.919216722	383137.40498852	332961.138850078	374663.039413281	339535.984466784
"ELOVL5"	21467.9518481717	28931.9379255176	13696.2549993768	31682.5972404331	242759.951995686	156835.363153368	206187.497125939	121071.107685566	237893.331982195	159364.243596792	146801.999164745	234616.22945033	331240.435759537	307491.424912587	335928.76943294	375030.854507349
"ELOVL6"	67856.7707538605	7404.45486735553	50668.8143126667	60785.4333939031	133937.146514654	213578.87731865	258421.812206507	214463.736535981	280049.037979916	170687.722647563	295078.410673887	198355.77677004	356998.215522617	331465.585739352	313118.785806	367145.174299367
"ELOVL7"	76229.8469198868	35419.1020829603	64532.1724005044	50603.5279948264	203386.989189312	181726.403115317	121973.342401907	296727.7365271	131499.106111005	102952.841855586	238550.68157427	141985.822655261	304428.491555154	346622.191672213	377105.602319352	353841.342381202
"ELP2"	26388.3384410292	32794.681424275	36497.3991410807	99959.5581321046	225433.025369421	111437.158845365	107885.808544233	130177.96119675	179948.944691569	127301.636198536	207563.209114596	165773.434005678	380458.741635084	326394.87918932	383803.281746805	396242.561866529
"ELP3"	40761.93862129	25771.9866465777	813.705241307616	2807.76352155954	280561.473965645	299338.656663895	270119.309518486	111967.621929944	168357.863230631	197488.437732682	133951.015770435	233498.839335516	379360.193223692	349774.186033756	352556.05566781	395488.020731136
"ELP4"	20016.9585412368	36566.0729119554	29959.0877257288	58770.4486912116	196545.704593882	125217.83914417	211983.914300799	104435.638478026	105144.157912582	162995.320325717	206411.995179951	255083.754612133	362905.078241602	371650.88809561	309773.163846694	331313.64795845
"ELP5"	83264.6452588961	82142.2276087105	87873.5275240615	79638.4804416448	285363.068524748	200854.616891593	232364.366436377	235062.316805124	175011.437153444	171210.085600615	122272.511431947	215808.067796752	342969.451216049	302022.940199822	373890.858772211	394276.204984635
